路線番号,路線
一号,東京ヨリ横濱ニ達スル路線
二号,東京ヨリ大坂港ニ達スル路線
三号,東京ヨリ神戸港ニ達スル路線
四号,東京ヨリ長崎港ニ達スル路線
五号,東京ヨリ新潟港ニ達スル路線
六号,東京ヨリ函館港ニ達スル路線
七号,東京ヨリ神戸港ニ達スル別路線
八号,東京ヨリ新潟港ニ達スル別路線
九号,東京ヨリ伊勢宗廟ニ達スル路線
十号,東京ヨリ名古屋鎭臺ニ達スル路線
十一号,東京ヨリ熊本鎭臺ニ達スル路線
十二号,東京ヨリ群馬縣ニ達スル路線
十三号,東京ヨリ千葉縣ニ達スル路線
十四号,東京ヨリ茨城縣ニ達スル路線
十五号,東京ヨリ宮城縣ニ達スル別路線
十六号,東京ヨリ山梨縣ニ達スル路線
十七号,東京ヨリ岐阜縣ニ達スル路線
十八号,東京ヨリ福井縣ヘ達スル路線
十九号,東京ヨリ石川縣ニ達スル路線
二十号,東京ヨリ富山縣ニ達スル路線
二十一号甲,東京ヨリ富山縣ニ達スル別路線
二十一号乙,東京ヨリ富山縣ニ達スル別路線
二十二号　,東京ヨリ鳥取縣ニ達スル路線
二十三号,東京ヨリ鳥取縣ニ達スル別路線
二十四号,東京ヨリ島根縣ニ達スル路線
二十五号　,東京ヨリ島根縣ニ達スル別路線
二十六号,大坂府ト廣島鎭臺トヲ拘聯スル路線
二十七号,東京ヨリ山口縣ニ達スル路線
二十八号,東京ヨリ山口縣ニ達スル別路線
二十九号,東京ヨリ和歌山縣ニ達スル路線
三十号,東京ヨリ徳島縣ニ達スル路線
三十一号,東京ヨリ愛媛縣ニ達スル路線
三十二号,東京ヨリ高知縣ニ達スル路線
三十三号,東京ヨリ高知縣ニ達スル別路線
三十四号,東京ヨリ福岡縣ニ達スル路線
三十五号,東京ヨリ大分縣ニ達スル路線
三十六号,東京ヨリ宮崎縣ニ達スル路線
三十七号,東京ヨリ鹿兒島縣ニ達スル路線
三十八号,東京ヨリ鹿兒島縣ニ達スル別路線
三十九号,東京ヨリ山形縣ニ達スル路線
四十号,東京ヨリ秋田縣ニ達スル路線
四十一号,東京ヨリ靑森縣ニ達スル別路線
四十二号,東京ヨリ北海道庁ニ達スル路線（東京ヨリ札幌縣ニ達スル路線）
四十三号,東京ヨリ第七師團ニ達スル路線（東京ヨリ根室縣ニ達スル路線）
四十四号,東京ヨリ沖繩縣ニ達スル路線
四十五号,東京ヨリ横須賀鎭守府ニ達スル路線
四十六号,東京ヨリ呉鎭守府ニ達スル路線
四十七号,東京ヨリ佐世保鎭守府ニ達スル路線
四十八号,佐世保鎭守府ト熊本鎭臺トヲ拘聯スル路線
四十九号,東京ヨリ奈良縣ニ達スル路線
五十号,東京ヨリ香川縣ニ達スル路線
五十一号,東京ヨリ大分縣ニ達スル別路線
五十二号,東京ヨリ舞鶴鎭守府ニ達スル路線
五十三号,舞鶴鎭鎮守府ト第九師團トヲ拘聯スル路線
五十四号,舞鶴鎭守府ト第十師團トヲ拘聯スル路線
五十五号,東京ヨリ第八師團ニ達スル路線
五十六号,東京ヨリ第十七師團ニ達スル路線
五十七号,東京ヨリ第十三師團ニ達スル路線
五十八号,東京ヨリ静岡縣ニ達スル路線
五十九号,東京ヨリ第十六師團ニ達スル路線
六十号,東京ヨリ第十四師團ニ達スル路線
六十一号,東京ヨリ第十五師團ニ達スル路線
